ticker,event,event_start,event_end,plotted,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret,n_days_pre,n_days_event,n_days_post
EURUSD=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.00023177259303939647,-0.003817855324676711,-0.0007211857823223077,20,31,20
GBPUSD=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0001432401627145891,0.019430006368437835,-0.0006759024024861734,20,31,20
GC=F,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.001589789721064742,-0.0009984412180960023,9.709053375181482e-05,20,30,20
GLD,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0012242514784415576,-0.0028514168943194473,0.0007979374225479799,20,30,20
GOOG,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0008181625341232886,-0.10703594355507151,-0.0009431729113768262,20,30,20
HDFCBANK.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0012369213190462,-0.08049045578914071,-0.003906791025222187,20,30,20
HINDUNILVR.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0016913099377944836,0.12792633278032173,-0.0038731042805418988,20,30,20
ICICIBANK.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0024409866771860143,0.023703245962333197,-0.0010314949718992655,20,30,20
INFY.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0026706707257219643,-0.04653791579958466,-0.0003987570324379735,20,30,20
ITC.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0007311562934231425,0.007121572558401956,0.011122839074323125,20,30,20
JNJ,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0012066969411463038,-0.07304326418878582,-0.0002387721799712654,20,30,20
JPM,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0024497150658667676,0.062338845810126386,-0.00238261234214016,20,30,20
KO,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0008932925615466651,-0.07461046594066978,0.0030783237903834284,20,30,20
LT.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.00025963989246993464,-0.041079451265333966,-0.0017593574713388102,20,30,20
MA,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0012491330485266245,-0.04990187123292833,-0.0018487679840884033,20,30,20
MARUTI.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.001472941014789192,-0.13823812111198897,-0.0007076846660196946,20,30,20
META,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0021253984144993248,0.10365267799123878,-0.004550854466728565,20,30,20
MSFT,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.004223569643936938,-0.018092025774446352,-0.0003722510460756695,20,30,20
NFLX,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.009782647090241542,-0.05624365613301163,-0.003490687496366276,20,30,20
NG=F,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.007471647149543567,-0.16972230559138113,0.010588808468233244,20,30,20
